tanggal,akunbank,akunlawan,keterangan,debet,kredit,noCabang
01/04/24,110.111,5.1.2.04,Tunjangan KS SDK Minggir,0,275000,185
01/04/24,110.111,212.002,Simp. Wajib SDK Minggir,20000,0,185
01/04/24,110.111,212.002,Simp. Sukarela SDK Minggir,200000,0,185
01/04/24,110.111,212.002,Taskanta SDK Minggir,10000,0,185
01/04/24,110.111,212.002,Kontribusi SDK Minggir,5000,0,185
01/04/24,110.111,211.003.09,Titipan Iuran Studi Tiru KS  SDK Minggir,300000,0,185
01/04/24,110.111,5.1.2.04,Tunjangan Kepala Sekolah TKK Pulutan,0,100000,185
01/04/24,110.111,212.002,Simp. Wajib TKK Pulutan,50000,0,185
01/04/24,110.111,212.002,Simp. Sukarela TKK Pulutan,400000,0,185
01/04/24,110.111,212.002,Taskanta TKK Pulutan,110000,0,185
01/04/24,110.111,211.003.09,Titipan Iuran Studi Tiru KS TKK Pulutan,300000,0,185
01/04/24,110.111,211.003.07,Kolekte Adven Desember 2023 - SDK Gayam,123800,0,185
01/04/24,110.111,5.8.03,Stipendium 2 Romo misa Natalan Bersama Kepala Sekolah YKCY,0,2000000,185
01/04/24,110.111,5.8.03,Subsidi konsumsi Natalan Bersama Kepala Sekolah YKCY,0,1700000,185
01/04/24,110.111,5.7.5.01,Dansos melayat meninggalnya Pak Agus tetangga Kantor YKCY,0,200000,185
01/05/24,110.111,5.1.2.04,Tunjangan Kepala Sekolah TKK Notoyudan,0,100000,185
01/05/24,110.111,212.002,Simp. Wajib TKK Notoyudan,25000,0,185
01/05/24,110.111,212.002,Simp. Sukarela TKK Notoyudan,50000,0,185
01/05/24,110.111,212.002,Taskanta TKK Notoyudan,60000,0,185
01/05/24,110.111,211.003.09,Titipan Iuran Studi Tiru KS TKK Notoyudan,250000,0,185
01/05/24,110.111,5.7.1.04,Pembelian 2 galon aqua Kantor YKCY,0,38000,185
01/06/24,110.111,5.7.1.05,Konsumsi makan siang zoom satgus SAK,0,44000,185
01/08/24,110.111,5.7.1.10,Konsumsi tukang tebang pohon,0,30000,185
01/08/24,110.111,5.7.1.11,Ongkos tukang tebang dan biaya angkut pembuangan,0,350000,185
01/08/24,110.111,5.7.1.05,Konsumsi pengawas dan personalia Zoom Meeting,0,182500,185
01/08/24,110.111,5.7.1.05,Pembelian snack Romo dan Notaris urusan tanah SDK Kalasan,0,210000,185
01/08/24,110.111,5.7.1.05,Konsumsi makan siang Tamu Romo Badan Pengurus Kanisius,0,451000,185
01/08/24,110.111,5.7.5.01,Dansos musibah rumah rusak - Alb. Nugroho SDK Pugeran,0,1000000,185
