noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
110466,5.2.5.03,Pengembangan Database Perpustakaan dan Perpustakaan Elektronik (e - library),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110467,5.2.5.04,Pengadaan Sarana Pembelajaran,0,,0,0,0,0,800000,0,0,0,0,1000000,0,0,0
110468,5.2.5.05,Pengadaan Mebelair,0,,0,0,0,2360000,0,0,0,0,0,0,0,0,0
110469,5.2.5.06,Pembangunan / Penambahan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110470,5.2.5.07,Pemeliharaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110471,5.2.5.08,Pemeliharaan Instalasi,0,,0,0,0,0,250000,0,0,0,0,0,0,0,0
110472,5.2.5.09,Pemeliharaan Sarana Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110473,5.2.5.10,Pemeliharaan Mebelair,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110474,5.2.5.11,Pemeliharaan Bangunan,0,,0,0,0,0,0,0,2000000,0,0,0,0,0,0
110475,5.2.5.12,Pemeliharaan Kebersihan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110476,5.2.6.01,Kerjasama dengan Sekolah Lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110477,5.2.6.02,Program; Supervisi; Monitoring; Evaluasi; Laporan ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110478,5.2.6.03,Pelaksanaan Rapat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110479,5.2.6.04,Pengembangan Sistem Informasi Manajemen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110480,5.2.6.05,Pengelolaan Inventaris Barang,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110481,5.2.6.06,Penyelenggaraan Lintas Alam,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110482,5.2.7.01,Akreditasi sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110483,5.2.7.02,Biaya transportasi untuk urusan dana BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110484,5.2.7.03,Honor bagi penyusun laporan BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110485,5.2.7.04,Keperluan Konsumsi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110486,5.2.7.05,Pembayaran Iuran Internet,0,,0,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
110487,5.2.7.06,Pembayaran Langganan Air,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110488,5.2.7.07,Pembayaran Rekening Listrik,0,,0,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
110489,5.2.7.08,Pembayaran Rekening Telepon,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110490,5.2.7.09,Pembayaran Retribusi Keamanan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110491,5.2.7.10,Pembayaran Retribusi Sampah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110492,5.2.7.11,Pengadaan ATK,0,,0,0,0,0,0,600000,0,0,600000,0,0,0,0
110493,5.2.7.12,Pengadaan Kebutuhan Rumah Tangga,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110494,5.2.7.13,Pembayaran Keperluan Administrasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110495,5.2.7.14,Penyediaan Pembiayaan untuk Studi Lanjut Pendidik/Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110496,5.2.7.15,Penyelenggaraan Penerimaan Sumbangan Pendidikan dari Masyarakat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110497,5.2.7.16,Pelaksanaan Workshop,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110498,5.2.8.01,Pelaksanaan Sistem Penilaian,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110499,5.2.8.02,Pelaksanaan Penilaian,0,,0,0,0,1750000,750000,0,1750000,0,0,1750000,0,0,1750000
110500,5.2.8.03,Pelatihan-pelatihan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110501,5.2.8.04,Pengembangan Sekolah Hijau,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110502,5.3.1.01,Penyusunan Aneka Pedoman Belajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110503,5.3.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110504,5.3.1.03,Pelaksanaan Penunjang Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110505,5.3.2.01,Penyusunan Program Perpustakaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110506,5.3.2.02,Penyusunan Program Rutin Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110507,5.3.2.03,Penyusunan Program Pengelolaan Laboratorium,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110508,5.3.2.04,Penyusunan Program Ekstrakurikuler,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110509,5.3.2.05,Pengadaan Buku LKS/Majalah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110510,5.3.3.01,Pengelolaan Media Pembelajaran Cetak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110511,5.3.3.02,Pelaksanaan Program Kesiswaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110512,5.3.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110513,5.3.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110514,5.3.3.05,Pendataan Dapodik,0,,0,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
110515,5.3.3.06,Usaha Kesehatan Sekolah (UKS); Peralatan dan/atau Obat-obatan,0,,0,200000,0,60000,0,100000,0,0,0,0,0,0,0
110516,5.3.3.07,Peningkatan Kompetensi Guru,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110517,5.3.3.08,Pengembangan Inovasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110518,5.3.3.09,Bantuan Siswa Miskin,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110519,5.3.4.01,Pembinaan Pendidik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110520,5.3.4.02,Pembinaan Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110521,5.3.4.03,Pembinaan Administrasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110522,5.3.4.04,Pembuatan Media Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110523,5.3.5.01,Pengadaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110524,5.3.5.02,Pengadaan / Peningkatan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110525,5.3.5.03,Pengembangan Database Perpustakaan dan Perpustakaan Elektronik (e - library),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110526,5.3.5.04,Pengadaan Sarana Pembelajaran,0,,0,0,0,2700000,0,0,0,0,0,0,0,0,0
110527,5.3.5.05,Pengadaan Mebelair,0,,0,0,2700000,0,0,0,0,0,0,0,0,0,0
110528,5.3.5.06,Pembangunan / Penambahan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110529,5.3.5.07,Pemeliharaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110530,5.3.5.08,Pemeliharaan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110531,5.3.5.09,Pemeliharaan Sarana Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110532,5.3.5.10,Pemeliharaan Mebelair,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110533,5.3.5.11,Pemeliharaan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110534,5.3.5.12,Pemeliharaan Kebersihan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110535,5.3.6.01,Kerjasama dengan Sekolah Lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110536,5.3.6.02,Program; Supervisi; Monitoring; Evaluasi; Laporan ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110537,5.3.6.03,Pelaksanaan Rapat,0,,0,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
110538,5.3.6.04,Pengembangan Sistem Informasi Manajemen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110539,5.3.6.05,Pengelolaan Inventaris Barang,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110540,5.3.6.06,Penyelenggaraan Lintas Alam,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110541,5.3.7.01,Akreditasi sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110542,5.3.7.02,Biaya transportasi untuk urusan dana BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110543,5.3.7.03,Honor bagi penyusun laporan BOS,0,,0,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000
110544,5.3.7.04,Keperluan Konsumsi,0,,0,0,110000,0,110000,0,110000,0,0,0,0,0,0
110545,5.3.7.05,Pembayaran Iuran Internet,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110546,5.3.7.06,Pembayaran Langganan Air,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110547,5.3.7.07,Pembayaran Rekening Listrik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110548,5.3.7.08,Pembayaran Rekening Telepon,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110549,5.3.7.09,Pembayaran Retribusi Keamanan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110550,5.3.7.10,Pembayaran Retribusi Sampah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110551,5.3.7.11,Pengadaan ATK,0,,0,450000,90000,450000,290000,90000,450000,0,0,0,0,0,0
110552,5.3.7.12,Pengadaan Kebutuhan Rumah Tangga,0,,0,0,0,0,0,200000,0,0,0,0,0,0,0
110553,5.3.7.13,Pembayaran Keperluan Administrasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110554,5.3.7.14,Penyediaan Pembiayaan untuk Studi Lanjut Pendidik/Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110555,5.3.7.15,Penyelenggaraan Penerimaan Sumbangan Pendidikan dari Masyarakat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110556,5.3.7.16,Pelaksanaan Workshop,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110557,5.3.8.01,Pelaksanaan Sistem Penilaian,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110558,5.3.8.02,Pelaksanaan Penilaian,0,,0,0,0,0,0,1550000,0,0,0,0,900000,0,0
110559,5.3.8.03,Pelatihan-pelatihan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110560,5.3.8.04,Pengembangan Sekolah Hijau,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110561,5.4.01,Komputer,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110562,5.4.02,Kegiatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110563,5.4.03,Komite,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110564,5.4.04,Alat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110565,5.4.05,Pembangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110566,5.5.04,ADVEN/APP/5 ROTI 2 IKAN/ KOLEKTE,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110567,5.5.06,TITIPAN DI YKC,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110568,5.6.01,Beasiswa SPP,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110569,5.6.02,Beasiswa USPP,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110570,5.6.03,Pengembangan Program Kewirausahaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110571,5.6.04,Operasional Asrama,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110572,5.7.1.01,Belanja Barang Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110573,5.7.1.02,Biaya Pos Paket,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110574,5.7.1.03,Biaya Listrik;Telp;Internet dan Air,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110575,5.7.1.04,Biaya Makan/Snack/Buah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110576,5.7.1.05,Biaya Rapat/Pertemuan Dinas,0,,0,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
110577,5.7.1.06,Biaya Retret/Penataran,0,,0,0,0,1200000,0,0,0,0,0,0,0,0,0
110578,5.7.1.07,Biaya Perjalanan Dinas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110579,5.7.1.08,Biaya Urusan Tanah (IMB/HGB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110580,5.7.2.01,Biaya Pajak dan Penjualan Tanah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110581,5.7.2.02,Biaya Pajak Penghasilan (SKPKB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110582,5.7.2.03,Biaya PPH Final Jasa Konstruksi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110583,5.7.2.04,Biaya Pajak Bumi dan Bangunan (PBB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110584,5.7.3.01,Biaya Material Pemeliharaan Gedung,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110585,5.7.3.02,Biaya Jasa Pemeliharaan Gedung,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110586,5.7.4.01,Biaya Penyusutan Gedung,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110587,5.7.4.02,Biaya Penyusutan Kendaraan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110588,5.7.5.01,Biaya Uang Duka,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110589,5.8.01,Pengembangan Ketrampilan dan Pengetahuan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110590,5.8.02,Biaya Studi Lanjut,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110591,5.8.03,Biaya Pengembangan Kerohanian,0,,0,360000,60000,60000,60000,360000,60000,60000,60000,60000,60000,60000,60000
110592,5.8.04,Biaya Kursus Persiapan Pensiun,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110593,6.2.01,Biaya Administrasi Bank,0,,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
110594,6.2.02,Biaya lain-lain,0,,0,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000
110595,5.4.06.01,Penyediaan APE,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110596,5.4.06.02,Penyediaan dan/atau alat Multimedia Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110597,5.4.06.03,Penyediaan Bahan Pendukung Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110598,5.4.06.04,Penyediaan Laporan Capaian Tingkat Perkembangan Anak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110599,5.4.06.05,Pengelolaan dan Operasional Rutin Satuan Pendindikan ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110600,5.4.07.01,Penyediaan APE,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110601,5.4.07.02,Penyediaan dan/atau alat Multimedia Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110602,5.4.07.03,Penyediaan Bahan Pendukung Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110603,5.4.07.04,Penyediaan Laporan Capaian Tingkat Perkembangan Anak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110604,5.4.07.05,Pengelolaan dan Operasional Rutin Satuan Pendindikan ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110605,5.1.1.02,Iuran BPJS Kesehatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110606,5.1.4.03,Pembayaran Honor Kelebihan Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110607,5.7.1.09,Biaya ATK,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110608,5.7.1.10,Biaya Tamu,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110609,5.7.1.11,Biaya Kebersihan,0,,0,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
110610,5.7.1.12,Belanja Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110611,5.7.2.05,Biaya Pajak Kendaraan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110612,5.7.3.03,Biaya Material Pemeliharaan Kendaraan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110613,5.7.3.04,Biaya Jasa Pemeliharaan Kendaraan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110614,5.7.3.05,Biaya Material Pemeliharaan Peralatan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110615,5.7.3.06,Biaya Jasa Pemeliharaan Peralatan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110616,5.1.1.01,Iuran Pensiun Yadapen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110617,5.1.1.03,Iuran BPJS Tenaga Kerja,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110618,5.4.08,Pengelolaan Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110620,5.9.01,Biaya Operasional Sekolah Penggerak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110621,5.7.4.03,Biaya Penyusutan Inventaris ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
