noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
115401,5.2.7.15,Penyelenggaraan Penerimaan Sumbangan Pendidikan dari Masyarakat,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115402,5.2.7.16,Pelaksanaan Workshop,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115403,5.2.8.01,Pelaksanaan Sistem Penilaian,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115404,5.2.8.02,Pelaksanaan Penilaian,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115405,5.2.8.03,Pelatihan-pelatihan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115406,5.2.8.04,Pengembangan Sekolah Hijau,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115407,5.3.1.01,Penyusunan Aneka Pedoman Belajar,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115408,5.3.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115409,5.3.1.03,Pelaksanaan Penunjang Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115410,5.3.2.01,Penyusunan Program Perpustakaan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115411,5.3.2.02,Penyusunan Program Rutin Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115412,5.3.2.03,Penyusunan Program Pengelolaan Laboratorium,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115413,5.3.2.04,Penyusunan Program Ekstrakurikuler,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115414,5.3.2.05,Pengadaan Buku LKS/Majalah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115415,5.3.3.01,Pengelolaan Media Pembelajaran Cetak,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115416,5.3.3.02,Pelaksanaan Program Kesiswaan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115417,5.3.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115418,5.3.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115419,5.3.3.05,Pendataan Dapodik,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115420,5.3.3.06,Usaha Kesehatan Sekolah (UKS); Peralatan dan/atau Obat-obatan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115421,5.3.3.07,Peningkatan Kompetensi Guru,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115422,5.3.3.08,Pengembangan Inovasi Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115423,5.3.3.09,Bantuan Siswa Miskin,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115424,5.3.4.01,Pembinaan Pendidik,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115425,5.3.4.02,Pembinaan Tenaga Kependidikan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115426,5.3.4.03,Pembinaan Administrasi Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115427,5.3.4.04,Pembuatan Media Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115428,5.3.5.01,Pengadaan Peralatan / Perlengkapan Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115429,5.3.5.02,Pengadaan / Peningkatan Instalasi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115430,5.3.5.03,Pengembangan Database Perpustakaan dan Perpustakaan Elektronik (e - library),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115431,5.3.5.04,Pengadaan Sarana Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115432,5.3.5.05,Pengadaan Mebelair,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115433,5.3.5.06,Pembangunan / Penambahan Bangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115434,5.3.5.07,Pemeliharaan Peralatan / Perlengkapan Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115435,5.3.5.08,Pemeliharaan Instalasi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115436,5.3.5.09,Pemeliharaan Sarana Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115437,5.3.5.10,Pemeliharaan Mebelair,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115438,5.3.5.11,Pemeliharaan Bangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115439,5.3.5.12,Pemeliharaan Kebersihan Bangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115440,5.3.6.01,Kerjasama dengan Sekolah Lain,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115441,5.3.6.02,Program; Supervisi; Monitoring; Evaluasi; Laporan ,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115442,5.3.6.03,Pelaksanaan Rapat,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115443,5.3.6.04,Pengembangan Sistem Informasi Manajemen,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115444,5.3.6.05,Pengelolaan Inventaris Barang,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115445,5.3.6.06,Penyelenggaraan Lintas Alam,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115446,5.3.7.01,Akreditasi sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115447,5.3.7.02,Biaya transportasi untuk urusan dana BOS,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115448,5.3.7.03,Honor bagi penyusun laporan BOS,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115449,5.3.7.04,Keperluan Konsumsi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115450,5.3.7.05,Pembayaran Iuran Internet,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115451,5.3.7.06,Pembayaran Langganan Air,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115452,5.3.7.07,Pembayaran Rekening Listrik,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115453,5.3.7.08,Pembayaran Rekening Telepon,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115454,5.3.7.09,Pembayaran Retribusi Keamanan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115455,5.3.7.10,Pembayaran Retribusi Sampah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115456,5.3.7.11,Pengadaan ATK,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115457,5.3.7.12,Pengadaan Kebutuhan Rumah Tangga,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115458,5.3.7.13,Pembayaran Keperluan Administrasi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115459,5.3.7.14,Penyediaan Pembiayaan untuk Studi Lanjut Pendidik/Tenaga Kependidikan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115460,5.3.7.15,Penyelenggaraan Penerimaan Sumbangan Pendidikan dari Masyarakat,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115461,5.3.7.16,Pelaksanaan Workshop,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115462,5.3.8.01,Pelaksanaan Sistem Penilaian,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115463,5.3.8.02,Pelaksanaan Penilaian,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115464,5.3.8.03,Pelatihan-pelatihan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115465,5.3.8.04,Pengembangan Sekolah Hijau,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115466,5.4.01,Komputer,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115467,5.4.02,Kegiatan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115468,5.4.03,Komite,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115469,5.4.04,Alat,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115470,5.4.05,Pembangunan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115471,5.4.06.01,Penyediaan APE,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115472,5.4.06.02,Penyediaan dan/atau alat Multimedia Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115473,5.4.06.03,Penyediaan Bahan Pendukung Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115474,5.4.06.04,Penyediaan Laporan Capaian Tingkat Perkembangan Anak,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115475,5.4.06.05,Pengelolaan dan Operasional Rutin Satuan Pendindikan ,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115476,5.4.07.01,Penyediaan APE,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115477,5.4.07.02,Penyediaan dan/atau alat Multimedia Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115478,5.4.07.03,Penyediaan Bahan Pendukung Pembelajaran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115479,5.4.07.04,Penyediaan Laporan Capaian Tingkat Perkembangan Anak,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115480,5.4.07.05,Pengelolaan dan Operasional Rutin Satuan Pendindikan ,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115481,5.4.08,Pengelolaan Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115482,5.5.04,ADVEN/APP/5 ROTI 2 IKAN/ KOLEKTE,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115483,5.5.06,TITIPAN DI YKC,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115484,5.6.01,Beasiswa SPP,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115485,5.6.02,Beasiswa USPP,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115486,5.6.03,Pengembangan Program Kewirausahaan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115487,5.6.04,Operasional Asrama,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115488,5.7.1.01,Belanja Barang Sekolah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115489,5.7.1.02,Biaya Pos Paket,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115490,5.7.1.03,Biaya Listrik;Telp;Internet dan Air,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115491,5.7.1.04,Biaya Makan/Snack/Buah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115492,5.7.1.05,Biaya Rapat/Pertemuan Dinas,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115493,5.7.1.06,Biaya Retret/Penataran,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115494,5.7.1.07,Biaya Perjalanan Dinas,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115495,5.7.1.08,Biaya Urusan Tanah (IMB/HGB),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115496,5.7.1.09,Biaya ATK,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115497,5.7.1.10,Biaya Tamu,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115498,5.7.1.11,Biaya Kebersihan,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115499,5.7.1.12,Belanja Kantor,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115500,5.7.2.01,Biaya Pajak dan Penjualan Tanah,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115501,5.7.2.02,Biaya Pajak Penghasilan (SKPKB),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115502,5.7.2.03,Biaya PPH Final Jasa Konstruksi,1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
115503,5.7.2.04,Biaya Pajak Bumi dan Bangunan (PBB),1,Unit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
